nr;thema;typ;frage;richtig;falsch1;falsch2;falsch3;quelle
24;Kategorien & Klassen;RF;Die Fettklasse 1 bis 5 misst die Marmorierung im Inneren des Fleisches.;falsch;;;;LB Rindfleisch
25;Kategorien & Klassen;MC;Wofür steht das Rindfleischkennzeichnungssystem BOS?;Es macht den Weg des Fleisches bis zum landwirtschaftlichen Betrieb rückverfolgbar;Es garantiert die beste Qualitätsklasse;Es bestätigt eine Mindestreifezeit von 9 Tagen;Es kennzeichnet Bio-Rindfleisch;IB Rindfleisch
26;Kategorien & Klassen;RF;BOS-gekennzeichnetes Rindfleisch ist automatisch von besserer Qualität.;falsch;;;;LB Rindfleisch
27;Qualitätsfaktoren;MC;Von welchem Tier stammt laut Lehrbuch das beste Rindfleisch?;Vom Mastochsen;Von der Kuh;Vom Stier;Vom Kalb;IB Rindfleisch
28;Qualitätsfaktoren;MC;Was bedeutet „marmoriert“?;Mit fein eingelagertem Fettgewebe durchzogen;Mit einer dicken Fettschicht außen abgedeckt;Mit Sehnen und Knorpeln durchzogen;Durch langes Lagern dunkel verfärbt;IB Rindfleisch
29;Qualitätsfaktoren;MC;Wie verändert sich Rindfleisch mit zunehmendem Alter des Tieres?;Dunkler, grobfasriger und mit längerer Garzeit;Heller, zarter und mit kürzerer Garzeit;Fettärmer und feinfasriger;Es verändert sich nicht – nur die Rasse zählt;IB Rindfleisch
30;Qualitätsfaktoren;MC;Welcher ist KEINER der sechs qualitätsbestimmenden Faktoren beim Rindfleisch?;Verpackungsart;Tierhaltung;Rasse;Fleischreifung;IB Rindfleisch
31;Qualitätsfaktoren;MC;Welche Rinderrasse wird im Lehrbuch als Beispiel genannt?;Angus;Holstein-Friesian;Merino;Duroc;IB Rindfleisch
32;Qualitätsfaktoren;MC;Ein Steakhaus braucht zartes, saftiges Fleisch mit kurzer Bratzeit. Welches Angebot passt besser?;Kategorie C, Klasse U2;Kategorie D, Klasse O4;Kategorie D, Klasse P5;Kategorie B, Klasse O4;LB Rindfleisch
33;Fleischreifung;MC;Wie lange und bei welcher Temperatur muss Rindfleisch vor dem Verkauf abhängen?;7 bis 14 Tage bei 2 bis 4 °C;2 bis 4 Tage bei 7 bis 14 °C;1 bis 2 Tage bei 0 °C;3 bis 5 Wochen bei −18 °C;IB Rindfleisch
34;Fleischreifung;MC;Welche Mindestreifezeit garantiert das AMA-Gütesiegel bei Rindfleisch?;9 Tage;5 Tage;14 Tage;21 Tage;IB Rindfleisch
35;Fleischreifung;MC;Was geschieht bei der Fleischreifung?;Das Glykogen in den Zellen wird umgewandelt, die Muskeln entspannen sich, das Fleisch wird mürb;Das Fett wird abgebaut, das Fleisch wird magerer;Das Wasser gefriert, die Fasern werden zerrissen;Das Eiweiß wird in Kollagen umgewandelt;IB Rindfleisch
36;Fleischreifung;MC;Woran erkennt man gut gereiftes Rindfleisch?;Stumpfe, rötlich-braune Färbung und nach Fingerdruck bleibt eine Delle;Hellrote, glänzende Farbe und das Fleisch federt sofort zurück;Viel ausgetretene Flüssigkeit in der Verpackung;Trockene, dunkle Ränder an der Schnittfläche;IB Rindfleisch
37;Fleischreifung;RF;Tiefkühlung ist eine Form der Fleischreifung.;falsch;;;;IB Rindfleisch
38;Fleischreifung;MC;Bei welchem Fleisch ist das Ablagern (Reifen) laut Lehrbuch besonders wichtig?;Fondue- und Grillfleisch;Suppenfleisch;Gulaschfleisch;Faschiertes;IB Rindfleisch
39;Fleischreifung;ZU;Ordnen Sie die Reifungsart ihrem Merkmal zu.;Dry Aged = reift offen im Klimaraum, bis zu 2/3 Gewichtsverlust | Wet Aged = reift vakuumiert, kein Gewichtsverlust | Sous vide = vakuumiert bei 50–85 °C im Wasserbad gegart;;;;IB Rindfleisch
40;Fleischreifung;MC;Warum ist Dry Aged Beef deutlich teurer?;Wegen des Gewichtsverlusts beim Trockenreifen und des Verschnitts der trockenen Stellen;Weil nur Wagyu-Rinder dafür verwendet werden dürfen;Weil es gesetzlich einen Preisaufschlag gibt;Weil es vakuumiert werden muss;IB Rindfleisch
41;Fleischreifung;MC;Ein Englischer mit 12 kg verliert beim Trockenreifen 30 % seines Gewichts, danach werden 1,2 kg Verschnitt entfernt. Wie viel bleibt verkaufsfähig?;7,20 kg;8,40 kg;6,00 kg;10,80 kg;LB Rindfleisch
42;Fleischreifung;MC;Ein Wirt will Dry Aged für die Steakkarte und etwas Günstigeres für das Mittagsmenü. Was empfehlen Sie fürs Mittagsmenü?;Wet Aged Beef;Tiefgekühltes, dafür länger gelagertes Fleisch;Ganz frisch geschlachtetes Fleisch;Sous vide gegartes Dry Aged Beef;IB Rindfleisch
43;Ernährung;MC;Wie viel Eiweiß enthält mageres Fleisch durchschnittlich?;ca. 21 %;ca. 2 %;ca. 45 %;ca. 75 %;AMA-Broschüre
44;Ernährung;MC;Was gibt die biologische Wertigkeit an?;In welchem Ausmaß Eiweiß aus Lebensmitteln zur Bildung von körpereigenem Eiweiß genutzt werden kann;Wie viele Kalorien ein Lebensmittel liefert;Wie lange ein Lebensmittel haltbar ist;Wie viele Vitamine ein Lebensmittel enthält;AMA-Broschüre
45;Ernährung;ZU;Ordnen Sie den Nährstoff seiner Aufgabe im Körper zu.;Vitamin B1 = Kohlenhydratabbau, Nerven und Muskeln | Vitamin B12 = Blutbildung | Eisen = Sauerstofftransport (Hämoglobin) | Zink = starkes Immunsystem;;;;AMA-Broschüre
46;Ernährung;MC;Welches Fleisch hat laut AMA einen besonders hohen Gehalt an Vitamin B12 und ist eine gute Eisen- und Zinkquelle?;Rindfleisch;Schweinefleisch;Hühnerfleisch;Putenfleisch;AMA-Broschüre
47;Ernährung;MC;Welches Fleisch „strotzt“ laut AMA vor Vitamin B1?;Schweinefleisch;Rindfleisch;Lammfleisch;Kalbfleisch;AMA-Broschüre
48;Ernährung;MC;Warum ist Fleisch in den letzten Jahren fettärmer geworden?;Züchtungsbedingt – dem Wunsch ernährungsbewusster Konsumenten folgend;Durch längere Reifung;Durch Tiefkühlung vor dem Verkauf;Weil das Fett gesetzlich entfernt werden muss;AMA-Broschüre
49;AMA & Kontrollen;MC;Welche drei Garantien gibt das AMA-Gütesiegel?;Ausgezeichnete Qualität, nachvollziehbare Herkunft, unabhängige Kontrollen;Bio-Qualität, Gentechnikfreiheit, niedriger Preis;Österreichische Rasse, Weidehaltung, Dry Aging;Lange Haltbarkeit, Vakuumverpackung, Fettarmut;AMA-Broschüre
50;AMA & Kontrollen;RF;Das rot-weiß-rote AMA-Gütesiegel garantiert Geburt, Haltung, Schlachtung und Zerlegung in Österreich.;richtig;;;;AMA-Broschüre
51;AMA & Kontrollen;MC;Wo finden beim AMA-Gütesiegel Kontrollen statt?;Auf den Bauernhöfen, in allen Be- und Verarbeitungsbetrieben und in den Geschäften;Nur im Schlachthof;Nur auf den Bauernhöfen;Nur stichprobenartig im Geschäft;AMA-Broschüre
52;AMA & Kontrollen;MC;Wie viele Tage Auslauf pro Jahr müssen Bio-Rinder mindestens haben?;180 Tage;90 Tage;30 Tage;365 Tage;AMA-Broschüre
53;AMA & Kontrollen;MC;Wie lange dauert die Umstellungsphase von konventioneller auf biologische Landwirtschaft mindestens?;2 Jahre;6 Monate;1 Jahr;5 Jahre;AMA-Broschüre
54;Einkauf & Qualität;ZU;Ordnen Sie der Fleischart die typische Farbe guter Qualität zu.;Rindfleisch = kräftig rot | Schweinefleisch = rosa bis hellrot | Kalbfleisch = zartrosa | Lammfleisch = kräftig hellrot;;;;AMA-Broschüre
55;Einkauf & Qualität;MC;Worauf deutet ungewöhnlich viel ausgetretene Flüssigkeit bei Fleischstücken hin?;Auf mangelnde Qualität;Auf besonders gute Reifung;Auf einen hohen Fettgehalt;Auf Bio-Herkunft;AMA-Broschüre
56;Einkauf & Qualität;MC;Wie sollen Teilstücke und Tranchen geschnitten werden?;Quer (am besten im rechten Winkel) zum Faserverlauf;Längs zum Faserverlauf;Schräg mit einem Sägemesser;Egal – die Schnittrichtung hat keinen Einfluss;AMA-Broschüre
57;Einkauf & Qualität;MC;Wozu dient eine leichte Fettabdeckung, z. B. bei Tafelspitz oder Beiried?;Sie schützt vor dem Austrocknen und hält das Fleisch beim Zubereiten saftig;Sie zeigt an, dass das Fleisch noch nicht gereift ist;Sie muss vor dem Verkauf immer entfernt werden;Sie verlängert die Garzeit deutlich;AMA-Broschüre
58;Einkauf & Qualität;RF;Gemischtes Faschiertes darf höchstens 20 % Fett enthalten.;richtig;;;;AMA-Broschüre
59;Lagerung;MC;Wie lange sollte frisches Fleisch laut AMA im Kühlschrank (Haushalt) höchstens gelagert werden?;Höchstens 3 Tage;Höchstens 1 Woche;Höchstens 12 Stunden;Bis zu 14 Tage;AMA-Broschüre
60;Lagerung;MC;Welche Grundregel gilt beim Tiefkühlen?;So rasch wie möglich einfrieren, so langsam wie möglich auftauen;So langsam wie möglich einfrieren, so rasch wie möglich auftauen;Langsam einfrieren, langsam auftauen;Rasch einfrieren, rasch in warmem Wasser auftauen;AMA-Broschüre
61;Lagerung;ZU;Ordnen Sie die maximal empfohlene Lagerdauer bei −18 °C zu.;Rindfleisch mager = 8 Monate | Kalbfleisch = 6 Monate | Schweinefleisch mager = 5 Monate | Faschiertes = 2 Monate;;;;AMA-Broschüre
62;Lagerung;RF;Fettes Fleisch ist tiefgekühlt länger haltbar als mageres.;falsch;;;;AMA-Broschüre
63;Lagerung;MC;Wie taut man Fleisch richtig auf?;Langsam im Kühlschrank;In warmem Wasser;Bei Raumtemperatur in der Sonne;In der Mikrowelle auf höchster Stufe;AMA-Broschüre
64;Lagerung;MC;Womit muss Fleisch in Dehnfolie gekennzeichnet sein?;Mit einem Verbrauchsdatum;Mit einem Mindesthaltbarkeitsdatum;Mit dem Schlachtdatum;Mit gar keinem Datum;AMA-Broschüre
65;Teilstücke Rind;MC;Welche drei Teilstücke bilden den Englischen?;Lungenbraten, Beiried, Rostbraten;Schale, Nuss, Tafelstück;Tafelspitz, Hüferscherzel, Weißes Scherzel;Kruspelspitz, Kavalierspitz, Brustkern;AMA-Broschüre
66;Teilstücke Rind;MC;Welches Teilstück liegt unter der Beiried, ist besonders mager und feinfasrig und eignet sich für Steaks, Tournedos und Beef Tatar?;Lungenbraten;Rostbraten;Tafelspitz;Schulterscherzel;AMA-Broschüre
67;Teilstücke Rind;ZU;Ordnen Sie das Teilstück der typischen Verwendung zu.;Tafelspitz = Sieden (Siedefleisch) | Beiried = rosa braten, grillen, Steaks | Wadschinken = Gulasch | Hals = Faschiertes und Gulasch;;;;AMA-Broschüre
68;Teilstücke Rind;MC;Aus welchem Teilstück werden Rib-Eye-Steaks geschnitten?;Rostbraten;Lungenbraten;Nuss;Brustkern;AMA-Broschüre
69;Teilstücke Rind;MC;Welches Teilstück wird vom Tafelstück geteilt und ist ein hervorragendes Siedefleisch?;Tafelspitz;Beiried;Nuss;Weißes Scherzel;AMA-Broschüre
70;Teilstücke Rind;MC;Welches Teilstück liegt in der Mitte des Knöpfels, ist fast fettfrei und eignet sich für Schnitzel und Fondue?;Nuss;Rieddeckel;Platte;Fettes Meisel;AMA-Broschüre
71;Teilstücke Rind;RF;Kruspelspitz und Kavalierspitz sind typische Siedefleischstücke.;richtig;;;;AMA-Broschüre
72;Zubereitung;ZU;Ordnen Sie die Garstufe beim Kurzbraten richtig zu.;Blau (rare) = innen roh und kaum warm | Englisch (medium rare) = innen roh, aber warm | Halb durch (medium) = innen zart rosa | Durch (well done) = völlig durchgebraten;;;;AMA-Broschüre
73;Zubereitung;MC;Wann sollte Fleisch gesalzen werden?;Erst kurz vor oder während der Zubereitung;Am Vortag, damit das Salz einzieht;Nur roh, nie beim Braten;Mindestens eine Stunde vorher;AMA-Broschüre
74;Zubereitung;MC;Warum lässt man Fleisch nach dem Garen einige Minuten rasten?;Damit sich der Fleischsaft gleichmäßig verteilt und beim Anschneiden wenig Saft austritt;Damit es auf Raumtemperatur abkühlt und leichter verdaulich wird;Damit das Fett wieder fest wird;Damit es nachgewürzt werden kann;AMA-Broschüre
75;Zubereitung;MC;Welche Garmethode ist eine Kombination aus Braten und Dünsten?;Braundünsten (Schmoren);Dämpfen;Sautieren;Sieden;AMA-Broschüre
76;Zubereitung;MC;Warum sollte beim Grillen kein Fett in die Glut tropfen?;Beim Verbrennen entstehen gesundheitsschädliche Stoffe wie Benzpyren;Weil das Fleisch sonst nicht bräunt;Weil das Fleisch dadurch zu schnell gar wird;Weil der Grill sonst ausgeht;AMA-Broschüre
77;Zubereitung;MC;Womit sollte Grillgut gewendet werden?;Mit einer Grillzange;Mit einer Gabel;Mit einem Messer;Egal womit;AMA-Broschüre
